type,cityBuilding,area,years ,num_Buildings,occupancy,site_EUI,wn_Site_n_Gas_Use,wn_Site_Electricity,water_Use,target
K-12 School,1,72060,63,1,100,57.3,9326.3,271800,6698.2,297.1
K-12 School,1,182575,55,1,100,35.7,48044.3,555199.9,6094.4,405.9
K-12 School,1,209050,44,1,100,35.1,1,960179.3,1902.9,583.7
K-12 School,1,70080,38,1,100,76.8,27323.9,636999.9,15931.2,366.3
K-12 School,1,206500,49,1,100,43,2788,637199.9,13080.8,682.4
K-12 School,1,83850,61,1,100,57.8,5376.5,438639.9,486.8,367.2
K-12 School,1,148666,90,1,100,40.2,12683,1135999.9,4146.5,457.1
K-12 School,1,163325,88,1,100,69.2,47115.4,1217999.8,13917.5,784.4
K-12 School,1,148475,48,1,100,76.3,1297.3,968708.4,10402,881.2
K-12 School,1,178975,58,1,100,49.2,4341,863613.9,0,675.3
K-12 School,1,98525,62,1,100,64.4,2683,503092.5,1191.9,483.2
K-12 School,1,105100,81,1,100,27.4,3974,726799.9,4506.7,231.1
K-12 School,1,124900,105,1,100,69,57662.6,677992.4,0,539.2
K-12 School,1,102175,62,1,100,100.1,450.8,484559.9,1.7,784.4
K-12 School,1,102100,21,1,100,64.4,30008.9,1016843.9,4868.6,459.9
K-12 School,1,81560,102,1,100,76,46642.6,443200,6300.3,376.9
K-12 School,1,27660,99,0,100,69,6320.3,375200.9,6287,141.8
K-12 School,1,108480,100,1,100,60.2,7134,430000,16019.7,484.7
K-12 School,1,104500,89,1,100,65.1,55796.1,353010.4,11069.1,399.9
K-12 School,1,162677,48,1,100,78.4,66555.8,1683299.1,398035,863.3
K-12 School,1,92100,59,1,100,40.5,9667.3,799199.9,7162.9,284
K-12 School,1,120000,55,1,100,47.2,36127.3,637657.3,2110.1,369.8
K-12 School,1,108000,54,1,100,84.1,4689,466388.4,137.1,688.2
K-12 School,1,109200,70,1,100,72.7,62435.2,483840,8695.8,473.7
K-12 School,1,159600,63,1,100,47,577,599199.9,7995.8,580.3
K-12 School,1,187200,56,1,100,52.8,1343,639599.9,5599739.8,761.7
K-12 School,1,170400,53,1,100,43.5,59581,426800,4514.2,439.8
K-12 School,1,130800,89,1,100,84.9,87515.5,674799.9,11206.4,670.4
K-12 School,1,99600,126,1,100,62.9,41259,395441.1,9544.5,391.9
K-12 School,1,69600,88,1,100,106.2,53136.2,358559.9,56.1,449.1
K-12 School,1,74400,89,1,100,73.5,37902.3,309760,5680.3,336.4
K-12 School,1,104500,71,1,100,75.1,60799.5,507999.9,20282.9,471.7
K-12 School,1,171600,89,1,100,64.2,4657,864670.1,7326.9,846.5
K-12 School,1,123600,104,1,100,72.2,58186.3,722799.9,6714.7,569.6
K-12 School,1,145200,95,1,100,77.4,84423.9,619427.5,639,683.9
K-12 School,1,112800,88,1,100,70.8,62295.2,523359.9,3377.9,485.2
K-12 School,1,147680,81,1,100,72.1,66341.9,897199.9,7857.1,681.4
K-12 School,1,97200,67,1,100,62.7,43315,515999.9,7022.2,379.2
K-12 School,1,103200,56,1,100,65.7,299.2,298200,6066.4,519.6
K-12 School,1,160800,59,1,100,51.7,2678,566978.3,5359.6,612.2
K-12 School,1,97200,89,1,100,60.1,4504,516479.9,14754.3,446.3
K-12 School,1,95530,93,1,100,51.5,19974.9,851799.9,2641.2,353.1
K-12 School,1,110525,91,1,100,60.9,42922.3,466239.9,12565.1,425.1
K-12 School,1,112900,83,1,100,65.6,40862.3,750399.9,7776.7,490.2
K-12 School,1,145375,67,1,100,73.4,82471.8,699199.9,8528,642.1
K-12 School,1,80580,68,1,100,43.9,1162,259341.4,6127.2,272
K-12 School,1,78280,63,1,100,78.4,200,485199.9,4872.8,477.5
K-12 School,1,72080,69,1,100,93.3,664,316220,1647.7,514.8
K-12 School,1,192000,57,2,100,50.7,70791.3,659274.2,35.4,595
K-12 School,1,276250,105,1,100,78.8,1958,1303279.7,5377.6,1676.1
K-12 School,1,103280,17,1,100,56.1,19773.3,942963.7,5936.9,422.1
K-12 School,1,121894,18,1,100,61,41045.8,987999.9,5265.7,501.7
K-12 School,1,136900,28,1,100,64.9,34736.6,1290922.8,8039.5,632.2
K-12 School,1,512650,47,1,100,52.7,2275,2401068.4,17831.9,2026.8
K-12 School,1,184975,54,1,100,43.1,50561,665599.9,41114.5,460.9
K-12 School,1,190975,44,1,100,47.8,464.1,1166238.5,7882,718.9
K-12 School,1,72080,109,1,100,73.8,11.1,299040,3852.6,323.8
K-12 School,1,121300,94,1,100,52.2,46215,503092.4,0,390.7
K-12 School,1,64480,89,1,100,58.3,134.6,376751.6,9739.1,272.9
K-12 School,1,144175,96,1,100,74.5,72026.7,762799.9,0.6,448.4
K-12 School,1,102080,99,1,100,55.9,37710,440480,23138.6,359.2
K-12 School,1,69680,99,1,100,53.2,21852.9,344960,3957.4,240.4
K-12 School,1,104500,58,1,100,62.6,560,374240,0,503.4
K-12 School,1,208925,89,1,100,75.7,5938,2064991.1,1114.4,1236.4
K-12 School,1,210000,30,1,100,42.8,649.7,969599.9,23541.2,706.8
K-12 School,1,483250,30,1,100,71.7,113970.8,6719999.2,82017.7,2563.5
K-12 School,1,193375,26,1,100,56.3,59117.7,1407461.5,15929,730
K-12 School,1,86330,92,1,100,41.7,19735.3,463599.9,0,241
K-12 School,1,85280,115,1,100,46.7,24922,435599.9,5881.6,258.2
K-12 School,1,102060,104,1,100,80,1482,395760,3.6,616.6
K-12 School,1,103300,105,1,100,81.5,14510,536999.9,755.4,613
K-12 School,1,82880,98,1,100,74.5,44611.3,266848.6,13206.1,373.3
K-12 School,1,130975,94,1,100,75.6,3813.7,967489.3,7104.7,760.9
K-12 School,1,196860,88,1,100,76.8,113284.8,984000,6368,908.6
K-12 School,1,446400,51,1,100,51,4078,1959319.8,5746.9,1750.2
K-12 School,1,102100,115,1,100,39.4,1207.2,390400,1676.5,313
K-12 School,1,96080,27,1,100,68.7,34980.4,828399.9,3702.2,445.5
K-12 School,1,135600,17,1,100,96.1,30238,2431313.8,21341.7,992.2
K-12 School,1,135600,69,1,100,57.5,1535.8,492799.9,6455.1,598.9
K-12 School,1,94800,112,1,100,58.4,36676.7,338400,4631.5,345.3
K-12 School,1,93600,88,1,100,77.8,3370.4,352368.2,8248.2,552.2
K-12 School,1,124800,88,1,100,58.8,44169,703099.9,5584.3,475.5
K-12 School,1,42000,91,1,100,81.8,22956.2,248107.5,1790.7,217.1
K-12 School,1,103200,118,1,100,70.6,642,497599.9,4641.7,563.1
K-12 School,1,118800,110,2,100,78.8,50570.5,1190575.8,4152.1,635
K-12 School,1,207360,93,1,100,45.7,10965,793230.6,615.5,715
K-12 School,1,118580,91,1,100,64.2,46322.4,464599.9,853.4,483.6
K-12 School,1,56400,99,1,100,72.6,26066.4,312160,7928.1,261.8
K-12 School,1,94800,89,1,100,119.9,90839,293120,522.6,662.3
K-12 School,1,128400,99,1,100,70.4,63359.2,516800,27493.7,554.9
K-12 School,1,129600,94,1,100,64.2,3098,615999.9,4459.6,633.1
K-12 School,1,99600,66,2,100,82.8,7352.5,428319.9,493.3,616.7
